Campaign,Campaign type,Status,Budget,Budget type,Networks,Languages,Location,Bid strategy type,Start date
Stands - Search PL,Search,Paused,8,Daily,Google search,pl,Poland,Manual CPC,
Stands - Search EN,Search,Paused,7,Daily,Google search,en,Poland;Germany;Netherlands;Spain;Italy;France;Czech Republic;Slovakia;Lithuania;Ukraine;Romania,Manual CPC,
Stands - Brand,Search,Paused,3,Daily,Google search,pl;en,Poland;Germany;Netherlands;Spain;Italy;France;Czech Republic;Slovakia;Lithuania;Ukraine;Romania,Manual CPC,
